,# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Lable
0,0,41.67,0.47,17.67,2.87,14.5,2.06,cycling
1,250,42.0,2.12,9.67,6.34,14.75,2.49,cycling
2,500,35.75,1.79,13.75,3.03,18.5,4.09,cycling
3,750,34.25,4.02,17.75,1.09,16.25,3.7,cycling
4,1000,36.5,4.33,14.75,1.09,12.67,4.92,cycling
5,1250,40.5,1.66,10.75,6.14,18.75,1.48,cycling
6,1500,43.0,1.87,17.33,2.49,15.5,2.29,cycling
7,1750,38.25,1.92,14.0,0.0,17.67,1.25,cycling
8,2000,37.5,1.5,15.5,3.28,19.0,1.0,cycling
9,2250,33.0,2.16,17.33,3.86,14.5,2.87,cycling
10,2500,30.5,2.69,14.0,3.0,16.5,3.2,cycling
11,2750,38.67,2.49,7.33,7.59,16.5,3.04,cycling
12,3000,42.0,0.0,18.33,2.05,14.75,2.17,cycling
13,3250,36.75,3.56,10.25,3.42,16.5,5.68,cycling
14,3500,35.75,1.79,15.25,1.09,19.25,1.48,cycling
15,3750,35.25,2.49,14.5,3.57,13.75,1.79,cycling
16,4000,31.67,5.79,10.67,4.78,17.0,4.32,cycling
17,4250,39.75,1.3,13.5,6.22,14.0,5.34,cycling
18,4500,40.5,1.5,14.0,2.12,15.5,2.6,cycling
19,4750,36.25,3.34,12.33,3.77,15.67,4.11,cycling
20,5000,33.5,2.87,20.0,1.22,16.75,2.68,cycling
21,5250,32.25,3.77,13.67,1.25,13.33,3.09,cycling
22,5500,36.5,2.69,6.75,4.15,17.5,3.04,cycling
23,5750,41.0,1.0,18.0,0.0,17.67,0.47,cycling
24,6000,40.0,1.41,13.67,1.25,17.0,1.22,cycling
25,6250,37.0,1.22,15.75,2.49,19.5,2.69,cycling
26,6500,32.0,1.41,19.5,1.5,17.67,2.87,cycling
27,6750,32.67,2.49,13.67,1.7,13.0,5.34,cycling
28,7000,38.67,0.47,7.0,5.35,9.75,6.98,cycling
29,7250,42.0,0.0,18.0,0.82,15.25,1.48,cycling
30,7500,40.25,2.17,13.75,5.36,12.0,6.4,cycling
31,7750,35.75,1.79,15.0,3.0,18.0,2.12,cycling
32,8000,35.25,1.3,18.75,1.79,13.25,3.27,cycling
33,8250,30.75,5.76,13.0,5.72,14.25,3.9,cycling
34,8500,35.0,4.12,6.5,3.84,13.25,3.7,cycling
35,8750,40.5,1.5,16.67,1.89,16.67,1.25,cycling
36,9000,41.5,0.87,16.33,0.47,15.0,1.41,cycling
37,9250,36.0,0.0,14.33,1.25,21.0,0.0,cycling
38,9500,32.5,0.87,18.0,2.12,17.25,3.27,cycling
39,9750,37.67,3.3,14.33,0.94,18.25,3.7,cycling
40,10000,37.0,1.22,10.0,3.16,15.5,2.87,cycling
41,10250,38.5,0.5,15.5,2.6,17.5,4.92,cycling
42,10500,40.5,1.12,15.25,2.17,19.25,1.3,cycling
43,10750,36.75,3.27,12.5,4.5,19.75,1.3,cycling
44,11000,34.0,1.73,18.33,0.47,18.33,2.62,cycling
45,11250,32.67,5.31,16.33,3.3,17.0,1.41,cycling
46,11500,37.5,1.5,11.25,4.44,15.25,7.15,cycling
47,11750,41.25,1.3,14.25,4.49,14.25,4.92,cycling
48,12000,41.5,1.5,13.0,1.63,13.67,1.25,cycling
49,12250,36.0,0.0,13.5,2.69,19.0,2.83,cycling
50,12500,31.0,0.82,16.0,1.41,17.0,4.74,cycling
51,12750,32.5,2.29,14.25,2.86,14.75,3.56,cycling
52,13000,38.75,1.09,8.33,2.87,16.0,4.06,cycling
53,13250,42.33,0.47,19.0,1.63,18.75,3.9,cycling
54,13500,41.5,1.12,9.75,5.8,20.75,1.79,cycling
55,13750,36.75,1.3,15.75,6.94,19.25,3.34,cycling
56,14000,34.75,1.79,18.25,3.7,13.0,3.24,cycling
57,14250,30.75,9.12,13.5,7.23,20.25,1.3,cycling
58,14500,39.0,1.87,15.0,3.24,18.5,3.57,cycling
59,14750,43.25,1.48,16.67,3.4,12.5,2.5,cycling
60,15000,36.25,3.19,15.25,5.93,13.5,7.02,cycling
61,15250,33.5,1.5,22.33,1.25,15.0,0.0,cycling
62,15500,35.0,3.74,17.67,2.87,16.0,3.67,cycling
63,15750,34.67,4.78,14.75,3.27,12.33,3.4,cycling
64,16000,41.0,1.22,17.0,3.67,15.5,3.2,cycling
65,16250,41.75,0.83,14.33,4.03,12.5,4.5,cycling
66,16500,34.67,2.36,21.0,0.0,17.0,2.16,cycling
67,16750,34.75,1.79,17.0,1.0,15.0,1.87,cycling
68,17000,27.75,10.76,16.0,1.41,17.0,4.85,cycling
69,17250,37.5,2.6,15.25,3.56,19.25,1.3,cycling
70,17500,42.5,1.5,19.0,1.73,14.5,4.72,cycling
71,17750,35.5,3.91,13.0,2.16,15.0,4.97,cycling
72,18000,36.0,0.0,22.5,1.66,17.5,5.55,cycling
73,18250,38.0,1.63,17.75,3.49,14.33,3.86,cycling
74,18500,34.67,2.36,15.33,1.89,18.67,1.7,cycling
75,18750,40.67,1.7,3.0,0.0,18.67,4.71,cycling
76,19000,42.75,1.09,13.0,7.12,15.33,2.49,cycling
77,19250,35.25,4.44,17.67,4.71,15.33,5.19,cycling
78,19500,31.0,0.82,20.5,1.5,16.0,1.22,cycling
79,19750,30.75,3.9,12.0,9.0,16.25,1.3,cycling
80,20000,38.25,3.27,16.75,2.49,17.5,2.06,cycling
81,20250,43.25,1.3,18.0,2.12,16.75,2.95,cycling
82,20500,37.5,3.2,14.0,3.32,15.75,2.86,cycling
83,20750,36.0,2.12,20.5,0.5,15.25,3.7,cycling
84,21000,31.67,1.25,21.67,0.94,13.0,3.0,cycling
85,21250,36.0,3.74,12.5,3.77,19.25,1.64,cycling
86,21500,40.0,1.22,13.25,2.95,15.0,8.75,cycling
87,21750,44.0,0.82,17.0,3.54,19.0,0.82,cycling
88,22000,38.5,4.15,12.5,5.22,15.25,5.45,cycling
89,22250,36.67,0.94,19.67,1.25,18.0,6.75,cycling
90,22500,34.75,1.79,19.5,2.6,14.0,2.12,cycling
91,22750,32.25,6.76,10.67,4.78,14.75,4.66,cycling
92,23000,38.75,2.17,14.0,2.94,19.25,1.79,cycling
93,23250,42.5,0.87,19.33,1.7,17.0,2.45,cycling
94,23500,37.25,3.19,15.33,1.7,15.33,1.25,cycling
95,23750,36.33,0.47,19.0,1.58,18.33,4.5,cycling
96,24000,36.0,4.06,17.25,3.9,11.5,6.26,cycling
97,24250,33.5,4.5,15.0,4.42,12.0,2.74,cycling
